"yyyy","mm","day","HH","MM","zm","d","z0","u_mean","L","sigma_v","u_star","wind_dir"
2017,5,1,0,0,3.3,0.2,0.05,4.36862694,54.67788654,0.935154785583649,0.318161888,56.92934989
2017,5,1,0,30,3.3,0.2,0.05,3.734696618,87.83672439,2.28588089606611,0.392298122,46.80210347
2017,5,1,1,0,3.3,0.2,0.05,1.954429689,108.7729749,1.18657814913304,0.373322964,59.36283955
2017,5,1,1,30,3.3,0.2,0.05,4.160463653,116.6525095,1.02430413305815,0.462487104,157.2890163
2017,5,1,2,0,3.3,0.2,0.05,6.919871413,156.7843475,1.08525114558797,0.497330736,162.1951615
2017,5,1,2,30,3.3,0.2,0.05,2.488848915,27.50719729,2.89227925190497,0.246211994,136.2659033
2017,5,1,3,0,3.3,0.2,0.05,4.240358675,36.32051836,1.38031811514593,0.278416879,74.9821252
2017,5,1,3,30,3.3,0.2,0.05,3.990708695,8.2477478,1.21784510345117,0.152569529,88.74797628
2017,5,1,4,0,3.3,0.2,0.05,3.556420481,9.261454144,1.28819282252309,0.147776764,132.6812015
2017,5,1,4,30,3.3,0.2,0.05,5.178053935,19.69928657,0.889447595420888,0.236318753,89.58159608
2017,5,1,5,0,3.3,0.2,0.05,4.512706652,31.84655762,0.797319102994529,0.246370274,75.0502775
2017,5,1,5,30,3.3,0.2,0.05,5.559450098,41.31499986,1.05275826902476,0.283639517,71.39915006
2017,5,1,6,0,3.3,0.2,0.05,5.528663059,128.2396376,1.27080599345455,0.360828292,55.73153676
2017,5,1,6,30,3.3,0.2,0.05,2.258064948,12.22150348,2.10868580115673,0.102463139,355.1283068
2017,5,1,7,0,3.3,0.2,0.05,2.781912922,13.98469306,0.636536907806609,0.138225545,353.8812926
2017,5,1,7,30,3.3,0.2,0.05,0.537046374,17.43622942,1.05599599052269,0.151581621,17.6020311
2017,5,1,8,0,3.3,0.2,0.05,1.475747294,58.72075607,1.59778138429511,0.225256328,90.1763595
2017,5,1,8,30,3.3,0.2,0.05,1.990018892,146.7980754,1.74129373828771,0.217012183,134.44594
2017,5,1,9,0,3.3,0.2,0.05,5.109046853,-1055.38569,0.939333217234438,0.362929487,158.9191041
2017,5,1,9,30,3.3,0.2,0.05,4.175784542,-227.0372687,1.13847383544814,0.306935696,143.7138937
2017,5,1,10,0,3.3,0.2,0.05,4.196056689,-155.1561552,1.18948788434351,0.354201102,156.2689884
2017,5,1,10,30,3.3,0.2,0.05,4.472130477,-105.6572306,1.00952588178808,0.342378093,161.0016663
2017,5,1,11,0,3.3,0.2,0.05,5.53664876,-271.5262526,1.04523564902849,0.39026411,162.5518382
2017,5,1,11,30,3.3,0.2,0.05,4.881933623,-98.2478814,0.884183612153041,0.361235505,158.9948935
2017,5,1,12,0,3.3,0.2,0.05,4.969641845,-92.55290586,1.22973969196737,0.374566915,142.8801596
2017,5,1,12,30,3.3,0.2,0.05,4.335245106,-159.3502989,1.02532158321182,0.322069111,142.2937841
2017,5,1,13,0,3.3,0.2,0.05,4.089741714,-59.93356634,1.24689984601812,0.289824818,136.0916771
2017,5,1,13,30,3.3,0.2,0.05,3.381772227,-38.39879547,1.36768148521503,0.305316031,158.3926769
2017,5,1,14,0,3.3,0.2,0.05,3.219571617,-39.72597012,1.44916483637991,0.304242224,162.9712467
2017,5,1,14,30,3.3,0.2,0.05,4.346868584,-65.66510971,1.31775658184659,0.319547337,170.0017398
2017,5,1,15,0,3.3,0.2,0.05,4.383150804,-74.38162699,1.67317595398691,0.346140619,169.4144212
2017,5,1,15,30,3.3,0.2,0.05,4.653194156,-103.7673094,1.02452476397596,0.369122275,162.9592021
2017,5,1,16,0,3.3,0.2,0.05,4.142014475,-62.87069621,1.14743677560029,0.2590095,175.5722017
2017,5,1,16,30,3.3,0.2,0.05,4.044484526,-68.38066879,1.04277071449097,0.304614556,165.8613415
2017,5,1,17,0,3.3,0.2,0.05,3.419242181,-58.86384735,1.07032568828371,0.277951573,160.9105225
2017,5,1,17,30,3.3,0.2,0.05,3.302049755,-65.82357504,1.13989685235112,0.268914769,154.2713674
2017,5,1,18,0,3.3,0.2,0.05,3.301236145,-46.98324169,0.962203160460409,0.231694883,147.8756829
2017,5,1,18,30,3.3,0.2,0.05,3.072260617,-168.1876345,1.08736373583084,0.239699376,136.3804772
2017,5,1,19,0,3.3,0.2,0.05,2.8110211,-167.5407111,1.05225800780987,0.202607031,140.5911861
2017,5,1,19,30,3.3,0.2,0.05,3.077789828,366.0265778,0.783838197589273,0.255008893,141.4647428
2017,5,1,20,0,3.3,0.2,0.05,2.661850428,23.12229494,0.562805947019041,0.135036065,133.3190717
2017,5,1,20,30,3.3,0.2,0.05,2.360144627,11.46067781,0.337710883745253,0.108228353,138.4746128
2017,5,1,21,0,3.3,0.2,0.05,2.882225684,5.567475386,0.435514914784787,0.103909444,143.9805584
2017,5,1,21,30,3.3,0.2,0.05,3.338163879,1.367392323,0.346384819240105,0.0674,151.2874987
2017,5,1,22,0,3.3,0.2,0.05,2.86821193,12.82973162,0.616838773910979,0.116637283,140.0617014
2017,5,1,22,30,3.3,0.2,0.05,4.283259538,18.87272013,0.623551173521468,0.191920497,149.7096973
2017,5,1,23,0,3.3,0.2,0.05,4.415442312,18.63057238,0.831163051392445,0.207460019,147.6766976
2017,5,1,23,30,3.3,0.2,0.05,0.715693726,39.22777546,1.33538658747196,0.185864461,12.46227421
2017,5,2,0,0,3.3,0.2,0.05,0.556359444,3.706753978,1.00387603218724,0.105790971,38.81181905
2017,5,2,0,30,3.3,0.2,0.05,1.144578598,21.26656538,1.69299972356761,0.264686872,105.6123958
2017,5,2,1,0,3.3,0.2,0.05,5.017795892,115.6782735,1.45282328484919,0.392141901,159.2093556
2017,5,2,1,30,3.3,0.2,0.05,3.539056653,20.34270995,1.48244981668858,0.162771296,119.3786315
2017,5,2,2,0,3.3,0.2,0.05,2.77054987,2.993462944,1.12521870007568,0.119934372,123.3542469
2017,5,2,2,30,3.3,0.2,0.05,3.042239576,69.85246024,2.04202075038429,0.284300318,121.9356049
2017,5,2,3,0,3.3,0.2,0.05,1.679442726,5.127053938,1.30476392194144,0.141233274,92.6953725
2017,5,2,3,30,3.3,0.2,0.05,3.785188629,31.56845791,1.75228923012156,0.299148946,134.5488238
2017,5,2,4,0,3.3,0.2,0.05,3.781864496,82.94366638,1.47843732433945,0.388347985,139.7162324
2017,5,2,4,30,3.3,0.2,0.05,2.945907716,20.97959407,1.3166010861305,0.212467325,150.8138652
2017,5,2,5,0,3.3,0.2,0.05,3.473111242,11.07810921,1.41438616438369,0.19734694,108.2222581
2017,5,2,5,30,3.3,0.2,0.05,3.181711489,21.0735867,1.01798764039648,0.128673553,45.8095598
2017,5,2,6,0,3.3,0.2,0.05,5.614857784,53.16156309,3.24570140801646,0.34041849,57.68898973
2017,5,2,6,30,3.3,0.2,0.05,2.322102894,59.13643354,1.88675365376617,0.279365817,139.8331698
2017,5,2,7,0,3.3,0.2,0.05,0.891801614,14.74542092,0.553983498851726,0.11159955,47.72913797
2017,5,2,7,30,3.3,0.2,0.05,1.686308274,29.07074128,0.941010018543905,0.166855339,73.99005115
2017,5,2,8,0,3.3,0.2,0.05,1.267677569,226.2449524,0.910528847977921,0.138138504,349.2454534
2017,5,2,8,30,3.3,0.2,0.05,0.74304543,294.31636,0.604402609193574,0.114229495,339.9870108
2017,5,2,9,0,3.3,0.2,0.05,1.254745119,-5.637205288,0.811111470144517,0.10221626,12.03341915
2017,5,2,9,30,3.3,0.2,0.05,1.468146569,-0.416727221,0.535943709730789,0.0534,1.733461219
2017,5,2,10,0,3.3,0.2,0.05,2.251689682,-2.585389768,0.575322862399888,0.110873172,353.2267643
2017,5,2,10,30,3.3,0.2,0.05,1.668341515,-0.082,0.664006444998842,0.034,356.9548968
2017,5,2,11,0,3.3,0.2,0.05,1.261990242,-2.610815871,1.23542637457681,0.123044605,22.63998252
2017,5,2,11,30,3.3,0.2,0.05,1.432463574,-17.13976938,1.17180686249911,0.216566875,57.94756325
2017,5,2,12,0,3.3,0.2,0.05,1.358103168,-3.815980851,1.0190431271541,0.152852098,132.174956
2017,5,2,12,30,3.3,0.2,0.05,2.40720442,-4.266675495,1.06067327014496,0.166652379,89.69490038
2017,5,2,13,0,3.3,0.2,0.05,2.454409999,-29.77830987,0.961319092705435,0.319031351,94.27406483
2017,5,2,13,30,3.3,0.2,0.05,2.989447388,-4.471349058,0.958221959151427,0.162629975,102.8050503
2017,5,2,14,0,3.3,0.2,0.05,3.453765347,-11.22803241,0.981146938536731,0.241140572,116.3062319
2017,5,2,14,30,3.3,0.2,0.05,3.561316011,-14.39386971,1.10399323639233,0.258716963,125.4025611
2017,5,2,15,0,3.3,0.2,0.05,4.330219851,-26.02978188,1.46656176719564,0.306802996,128.4628662
2017,5,2,15,30,3.3,0.2,0.05,3.872758514,-25.8383786,1.14341469248912,0.288427297,119.1100814
2017,5,2,16,0,3.3,0.2,0.05,3.26323059,-29.03532194,1.77244579860711,0.284792996,90.81404153
2017,5,2,16,30,3.3,0.2,0.05,2.444682002,-21.32976349,1.03805238596133,0.281320512,45.08273254
2017,5,2,17,0,3.3,0.2,0.05,4.251376016,-84.96396541,1.89960017108864,0.330406297,33.19398559
2017,5,2,17,30,3.3,0.2,0.05,4.163159018,71.30904124,1.96421730722443,0.284371617,63.7741091
2017,5,2,18,0,3.3,0.2,0.05,1.38690963,-58.26860945,1.43535939785128,0.187497575,52.71755642
2017,5,2,18,30,3.3,0.2,0.05,2.049977205,-22.47801969,0.534721103006044,0.139679023,357.5454573
2017,5,2,19,0,3.3,0.2,0.05,2.878743571,79.93848958,1.01116297400567,0.21430786,14.62091651
2017,5,2,19,30,3.3,0.2,0.05,4.99461365,53.78693486,0.988514794527629,0.308776806,22.14143252
2017,5,2,20,0,3.3,0.2,0.05,4.8829304,42.67496003,0.622509113989506,0.281732057,20.39795713
2017,5,2,20,30,3.3,0.2,0.05,4.385452152,31.56262661,0.542978342109517,0.26936668,23.50699108
2017,5,2,21,0,3.3,0.2,0.05,4.41349465,26.32034807,0.613809645574261,0.259925582,20.96693695
2017,5,2,21,30,3.3,0.2,0.05,4.639691563,33.84464822,0.640512909315652,0.284858261,21.30988976
2017,5,2,22,0,3.3,0.2,0.05,3.738924597,26.4084501,0.76036288704802,0.254909668,24.73981556
2017,5,2,22,30,3.3,0.2,0.05,2.411529309,5.021591041,0.880509329308895,0.131383545,99.18075702
2017,5,2,23,0,3.3,0.2,0.05,1.722004261,6.455703748,0.852202415509367,0.146963328,118.3794351
2017,5,2,23,30,3.3,0.2,0.05,1.989238628,1.072094577,1.00670234131048,0.0576,100.0097169
2017,5,3,0,0,3.3,0.2,0.05,2.360013231,2.996669446,0.889582931490932,0.0828,81.84844586
2017,5,3,0,30,3.3,0.2,0.05,2.909093257,7.991865317,0.712847677978964,0.151894482,96.86201454
2017,5,3,1,0,3.3,0.2,0.05,2.768529765,7.188499827,0.839580036685008,0.15087948,83.64207739
2017,5,3,1,30,3.3,0.2,0.05,3.507132617,19.04100514,0.741237451158534,0.214779474,51.76073008
2017,5,3,2,0,3.3,0.2,0.05,4.580855835,49.52624433,0.597228949398805,0.313831026,37.8498246
2017,5,3,2,30,3.3,0.2,0.05,3.893230343,47.71145885,0.653124429951904,0.29369238,48.15331674
2017,5,3,3,0,3.3,0.2,0.05,2.407135094,2.899808522,0.574342785277224,0.0731,100.2657401
2017,5,3,3,30,3.3,0.2,0.05,2.409498601,7.789067554,0.615252127180394,0.106604225,73.20214964
2017,5,3,4,0,3.3,0.2,0.05,2.186334835,9.038509072,0.538524416345257,0.118039489,80.60570972
2017,5,3,4,30,3.3,0.2,0.05,0.481043885,15.96620289,0.348313314416776,0.166884056,61.73312704
2017,5,3,5,0,3.3,0.2,0.05,1.876542277,7.033284286,0.413950262712805,0.0961,231.8745048
2017,5,3,5,30,3.3,0.2,0.05,2.742867987,6.55015087,0.453589030952028,0.0789,221.5736025
2017,5,3,6,0,3.3,0.2,0.05,2.387241471,0.0985,0.356497520327982,0.0232,231.7525766
2017,5,3,6,30,3.3,0.2,0.05,2.461905385,34.0500979,0.5331992019874,0.104171036,241.1079079
2017,5,3,7,0,3.3,0.2,0.05,2.044709698,-53.49196889,0.334170839541693,0.108855077,220.8479384
2017,5,3,7,30,3.3,0.2,0.05,1.787018847,-12.71011219,0.3104834939252,0.110770283,223.7520836
2017,5,3,8,0,3.3,0.2,0.05,1.757356868,-5.500204866,0.399746414618068,0.132402337,243.4576556
2017,5,3,8,30,3.3,0.2,0.05,0.32951007,-14.95549759,0.509130077681529,0.177889482,219.3365158
2017,5,3,9,0,3.3,0.2,0.05,1.205632449,-7.38238043,0.617902098232398,0.132242583,48.5807149
2017,5,3,9,30,3.3,0.2,0.05,2.76856727156921,-999,-999,-999,-999
2017,5,3,10,0,3.3,0.2,0.05,2.865438922,-21.91503681,0.924032390124935,0.236445338,71.95472231
2017,5,3,10,30,3.3,0.2,0.05,2.881572165,-11.58107791,0.919944271681714,0.210326472,73.52327788
2017,5,3,11,0,3.3,0.2,0.05,3.401648048,-31.0095672,0.752150194442573,0.218294283,82.64858796
2017,5,3,11,30,3.3,0.2,0.05,3.288602599,-26.21319811,0.682412252234674,0.21594263,88.2236594
2017,5,3,12,0,3.3,0.2,0.05,3.274300843,-17.91618356,0.841461597460039,0.212297835,60.34792604
2017,5,3,12,30,3.3,0.2,0.05,2.70561916,-14.00751171,0.986211676061483,0.201285045,50.98941524
2017,5,3,13,0,3.3,0.2,0.05,3.0405432,-23.29433399,0.7378940689557,0.248326693,30.04608155
2017,5,3,13,30,3.3,0.2,0.05,2.495095647,-3.034239643,0.881482854626226,0.102644773,7.014502401
2017,5,3,14,0,3.3,0.2,0.05,3.047134063,-29.35283215,0.764791321864991,0.213142381,278.6922412
2017,5,3,14,30,3.3,0.2,0.05,3.814387455,-66.29857179,0.736217336117535,0.22906348,253.1689936
2017,5,3,15,0,3.3,0.2,0.05,4.145162793,-20.90923847,0.749621018915558,0.274482148,237.664869
2017,5,3,15,30,3.3,0.2,0.05,4.13021075,-20.03951269,0.761188318354926,0.282180482,245.0693911
2017,5,3,16,0,3.3,0.2,0.05,3.604881008,-23.88726826,0.789360469620819,0.266441881,265.3364649
2017,5,3,16,30,3.3,0.2,0.05,3.73395837,-31.67764831,0.788058921020503,0.2852847,268.8627808
2017,5,3,17,0,3.3,0.2,0.05,4.281827798,-24.53619975,0.881240088171209,0.285758806,254.4985382
2017,5,3,17,30,3.3,0.2,0.05,3.104723932,-16.60490062,0.909746693865935,0.245859135,277.8280939
2017,5,3,18,0,3.3,0.2,0.05,2.74490355,-56.86768193,1.30493819470502,0.269890927,55.19769496
2017,5,3,18,30,3.3,0.2,0.05,3.305193115,-114.0976251,0.580084691230513,0.259009559,57.05084553
2017,5,3,19,0,3.3,0.2,0.05,1.350500648,85.30080265,1.76146426219779,0.256841742,169.2458818
2017,5,3,19,30,3.3,0.2,0.05,4.710909362,75.11466096,1.66575360392826,0.314730032,252.3299685
2017,5,3,20,0,3.3,0.2,0.05,3.606598577,67.91624918,1.12592586390046,0.273522433,255.4404633
2017,5,3,20,30,3.3,0.2,0.05,1.999030433,20.07239007,0.397659442236696,0.111989898,235.7725757
2017,5,3,21,0,3.3,0.2,0.05,2.030963847,11.89231842,0.27712812921102,0.0868,224.5195033
